,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,timestep
73,-100.33917126793783,-83.29500271935878,-31.847987103815363,-285.08292090543773,-2945.0994354642685,-108.12301602015603,74358
74,-139.04303040720012,-3036.076101396805,-2951.1609638305217,-2965.057519755912,-2991.890914271127,-2993.406878031923,75359
75,-45.8032715299814,-46.923778848673166,-313.2436489949763,-50.611273591099746,-119.63947303393051,-36.18571847499046,76360
76,-248.33296738821724,-2982.8474830771543,-418.9431822470027,-2963.290898949992,-57.99412183906737,-3030.4178176858277,77389
77,-75.38946740578358,-60.6329609553846,-3005.7644397087074,-82.52066518175998,-186.15321441392547,-89.99163196325728,78390
78,-47.90262124412142,-49.60104358155075,-41.45612443713318,-176.06692746988296,-2921.953883158249,-2943.996757811728,79396
79,-236.28073027454,-2984.7766301124,-299.4506522801203,-28.203117729835057,-2986.030790640681,-292.2272601138888,80402
80,-731.5587407708312,-2983.684885475414,-2973.555619758045,-2953.3590081316975,-2956.503698446541,-2968.9903981439497,81404
81,-35.07379559160229,-27.539162729460077,-49.42191437189123,-205.3557259507719,-98.41007728878797,-141.7911466378954,82405
82,-119.96218821804855,-36.21279936656316,-452.10099571864595,-3015.446624642332,-1677.0280508066087,-70.21255181471103,83451
83,-30.117677493451787,-60.33420868182389,-2984.644642128157,-217.0572512923152,-146.00003126351797,-55.14194519027406,84457
84,-358.8408251700876,-92.55650168222873,-3009.4313130141113,-39.77583272485295,-2996.6381865436488,-33.0440308507119,85458
85,-169.86688680804122,-44.88191881998367,-68.62232531098823,-145.49708519893193,-174.3052270295769,-105.18559662682942,86466
86,-2974.107501053589,-38.80050600158982,-52.088904801237376,-61.75264136245424,-67.30991448090418,-36.83269705223981,87480
87,-2996.60312148367,-140.04211113274627,-3042.390026184379,-223.94293401888095,-132.1726915613741,-97.65935762818856,88484
88,-59.06526122402159,-3056.140327572433,-2998.3104312255837,-36.23257959211456,-2980.7266708207285,-2990.108609248009,89486
89,-54.518583457915916,-33.247793218659844,-52.33317215074368,-28.8600291785515,-33.55050287204563,-112.27769030024461,90488
90,-97.54547739185136,-27.176199701069258,-97.74460597968054,-31.153315804287747,-35.37622078988002,-83.00831829617255,91534
91,-2992.199276776994,-736.6096657357499,-212.53645816889352,-228.96333712322536,-722.2269496941495,-2994.890664441278,92540
92,-52.870016619709716,-46.795404654970405,-33.01511891289038,-30.47365159889022,-60.0900616058751,-94.1978288994962,93543
93,-2978.5308045108545,-106.82904332706812,-2946.823057307521,-122.82118894988312,-27.25185792581467,-2997.8712052932506,94546
94,-555.2679639105609,-167.49481148289217,-2999.8539492710875,-310.4351700967203,-331.50660738237013,-3007.3528171849066,95548
95,-2949.767107240028,-212.4281556230124,-83.46179557544308,-31.219604574100757,-160.67569584455512,-49.42628824923626,96552
96,-27.06463060436403,-211.38658348964702,-31.26668710595502,-29.26972524758625,-166.920853582875,-112.9366837968937,97559
97,-94.66000275209346,-3052.2714326911373,-3085.1932904985065,-212.73637719718104,-2989.736071627896,-175.40741776856328,98568
98,-233.1351503570474,-59.66945009591151,-112.36047024831728,-43.38371558103821,-38.16419997589986,-77.60747066222937,99571
99,-28.675732981338278,-370.1524435697216,-37.0545491840866,-189.1290272901794,-391.64679435244597,-97.5568323998098,100577
100,-120.59988009553844,-835.9100269846216,-71.51142577477553,-41.75461863571578,-45.5403916006354,-180.58842858495544,101592
101,-72.84385089074085,-196.38527066923035,-45.686381295755545,-108.08541383451809,-339.3080926258346,-65.28276666011209,102624
102,-93.24851117061675,-80.39141430348994,-2982.4337838939746,-2960.3445848188912,-111.06059154589651,-81.31513975286556,103625
103,-56.90746674923268,-32.31511378031545,-73.04378956147833,-27.207927681327025,-90.034788340397,-169.74992976027394,104626
