,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,timestep
52,-612.7093514470146,-595.0275994333526,-638.2157652170384,-606.7150544440316,-635.3210608669158,-623.6030803439505,53000
53,-592.1937339246823,-595.4630697608633,-588.7874284466714,-591.9645409809909,-579.6836427513223,-583.4058512943867,54000
54,-600.129055536429,-589.6610858218899,-594.0282128429999,-596.0998091067886,-599.2083567032024,-595.108835703496,55000
55,-595.4004867357347,-595.3027860321363,-596.4054480241838,-598.1043627105826,-593.4404538115749,-594.7948132232516,56000
56,-755.1552364313438,-753.9814953719509,-762.3687379867309,-751.9524200261034,-751.5839647405719,-751.3432047291782,57000
57,-852.1587224391408,-871.9165651874372,-868.3810335151458,-910.0537487993672,-901.5759647864375,-872.0149826486199,58000
58,-803.6452706560362,-785.6268125008852,-738.9087843507502,-751.9805638809003,-768.543817173257,-738.0965717104477,59000
59,-734.0347578821123,-741.1300177890864,-745.7257636537416,-735.8998655773495,-734.2878125858617,-746.4199957926658,60000
60,-732.5295467996943,-735.5760533140008,-742.2815181661148,-733.2052676928507,-731.7473730934358,-737.0267399157175,61000
61,-556.3058148829607,-549.5365588911892,-553.0577565733789,-553.00681494895,-597.9767182542658,-553.2820906854596,62000
62,-582.8342944235001,-576.409703905608,-585.823896887177,-593.3416860622654,-587.6485194394783,-600.2303962675051,63000
63,-586.8421074325389,-596.6608308047211,-593.7914607441476,-594.9155301632262,-597.130112770751,-597.2819927740478,64000
64,-596.9799605984879,-597.7238174860191,-594.1968938400375,-595.8044655700542,-597.635769632792,-601.5283643557348,65000
65,-600.4750540842438,-921.4151384843072,-841.391113276723,-598.4921362145179,-911.7110176946326,-938.8255139367443,66000
66,-754.502317494403,-735.1460841096783,-594.0292365315892,-635.9695470483541,-720.104484857475,-733.4471267587505,67000
67,-594.9524343760489,-591.8501414369354,-593.9229331505966,-597.7228051442682,-598.617324960542,-599.4309452500015,68000
68,-588.7372977623844,-594.3423316899508,-594.3447313442867,-594.3772965562832,-589.0292716326092,-595.3970509866916,69000
69,-593.9190478474179,-594.0818330142597,-1098.8543073010992,-593.3984392824997,-595.344136233907,-600.4129656616824,70000
70,-600.0308119434644,-595.0036954286535,-595.1736350501184,-818.9149098255161,-1101.2335268004817,-782.3985678378467,71000
71,-601.0688759450065,-601.2372334592286,-600.9992978517294,-599.984359961693,-600.9227259029193,-594.8732111676555,72000
72,-594.5251792014128,-598.1236170968505,-604.8007199051993,-600.6750413552058,-602.507071553302,-600.7294817526456,73000
73,-592.9141303019819,-601.3136216669775,-602.1122947591808,-592.8515469531493,-601.9724243760924,-601.6160084526678,74000
74,-599.2957624236458,-602.4916952069258,-601.38344391643,-603.6739962021322,-598.7918339974796,-600.8511204734979,75000
75,-603.7250116315353,-601.3305319277854,-607.9035244728677,-601.5939702628366,-602.8075724916977,-595.8835609647007,76000
76,-593.7465506752038,-787.9494549990907,-596.0878771995106,-606.6311924745186,-795.5420292463085,-593.1142312000756,77000
77,-594.1877509661405,-593.5572665579209,-600.1634278871751,-597.7914951014423,-592.675133801241,-595.667434953945,78000
78,-596.7019364566452,-608.2361761659579,-604.6449355115585,-606.5304407360103,-612.5720552712049,-593.0545099799858,79000
79,-592.4840838628567,-592.0541754278141,-595.1545614642197,-593.3221596400791,-572.6569172995368,-595.9335801385662,80000
80,-599.3420298062018,-591.4951761338342,-593.3461244639344,-596.4101828830542,-601.0884521374614,-595.8286849507255,81000
81,-604.0407444304493,-595.0397412790329,-595.6440693083629,-601.3531057410456,-595.5179103054056,-600.9214768795338,82000
82,-589.8221045471748,-594.920267413594,-590.1480165138253,-589.1768238841976,-594.0526447154026,-593.9588236069133,83000
83,-596.4870095908811,-596.4758816462942,-589.1625044343859,-596.8294221871116,-597.4869768538798,-600.8866892515096,84000
84,-596.3638701267834,-595.1866494236251,-597.9596439978878,-599.4154484519722,-599.3491295379006,-593.8119742622488,85000
85,-600.6587387435927,-601.4462664746248,-600.7465466314148,-599.5409895813019,-601.0851153645102,-600.4824572952289,86000
86,-590.3673181187451,-593.0159129178953,-600.0611800311633,-592.227478289873,-585.4909459966283,-591.5496548068567,87000
87,-599.2380027678809,-599.3420424390458,-601.456043212073,-600.050388599644,-599.4592960124309,-592.8109802111347,88000
88,-592.4878736594943,-595.837267015283,-593.7784423216341,-588.4991307659643,-595.6473075971218,-589.6881041390842,89000
89,-599.2828576791561,-594.5832542160703,-594.846759387512,-596.2171468222319,-593.2711467874799,-601.5051054684355,90000
90,-593.1097576651152,-595.3501490966491,-595.8146454280111,-600.8367785344786,-591.3811541648186,-595.5618584939599,91000
91,-593.9883905639643,-589.8427549791919,-588.9396900421891,-595.1783987920276,-589.5506671260432,-593.9508740157127,92000
92,-589.3757857585196,-593.9978901093257,-588.3336013188481,-593.8517703955616,-588.8919329996144,-589.8034674202471,93000
93,-588.8821810517321,-593.9532037790054,-594.5705917529342,-588.544402697031,-592.3186263484893,-598.7114606867344,94000
94,-594.5738239489417,-587.4547687755287,-599.6280025521531,-594.6825440274787,-594.0295859264182,-588.2537670559424,95000
95,-590.1057150487075,-595.0750723938323,-594.1929896803447,-590.3297720869462,-588.8222583033671,-586.3508978677581,96000
