,reward_0,reward_1,reward_2,reward_3,reward_4,reward_5,timestep
0,987.6544294191913,990.4061407438737,993.2505383613563,983.7886482033829,989.9867979134503,983.4478780213993,0
1,-50.14332259501968,-45.427020188244235,-146.6982336252144,-18.63321343966085,-849.417945752372,105.58975637405257,2000
2,-118.90410935186335,-121.47412339182026,-226.2615948916954,-237.71141704524763,-47.47870347252559,-46.80680119040407,3000
3,-23.37948261823042,-125.79107252099317,-50.74613764857851,-25.5944580669185,-31.59474679529866,-2852.0896401727205,4000
4,-2726.3420382371987,-83.26061708257176,-97.30790881779608,-121.61383526990483,-28.18367610061274,-89.46735534568225,5000
5,-2891.3159115707294,-95.81935678594006,-2907.5720280940473,-2875.3015733835673,-2889.746632316134,-2844.934783134795,6000
6,-23.312646538449602,-29.935375772953023,-17.90540122385466,-43.73896653573159,-54.18095148937857,-54.57495253769621,7000
7,-102.10730813311595,-2823.9514962848853,-234.46815010558873,-453.61722742502076,-269.1891561596495,-2794.4722815701316,8000
8,-35.77054963857178,-42.61853384523228,-51.103405250005096,-3021.2703195325244,-95.66566203623638,-99.97100452115016,9000
9,-36.789960291975355,-2882.7800771118327,-2904.623432227081,-2846.435111472312,-40.12989387351656,-36.83049015402989,10000
10,-42.87344443435464,-56.361730646411054,-70.28069276052922,-92.97894214078951,-58.70995102455307,-28.50236764103107,11000
11,-92.05521200906779,-50.59246575237568,-2690.2504916180596,-2851.4949345758837,-2765.4561990526317,-115.27616870364604,12000
12,-30.332919657096543,-2785.786043404355,-37.425210483530186,-34.91926042156619,-135.6921501630651,-30.25177768289068,13000
13,-90.6215405569641,-90.63544418387126,-172.83610269003103,-3032.673203671601,-40.9876795003113,-33.24771660632117,14000
14,-404.2175856478816,-347.8417892022621,-2959.8088098175704,-390.2325327378397,-614.2363657336772,-2873.1042901532314,15000
15,-1090.019511453423,-119.83508588489197,-660.7942797459593,-122.28238171760653,-338.9613843997006,-103.51582878893399,16000
16,-28.818652228862298,-23.264355422566677,-44.08402498112159,-53.00395005789058,-29.90358403794933,-27.78766042812399,17000
